,0
1961-04-01,-7575219038.794434
1961-05-01,-7545582918.067909
1961-06-01,-7516024194.076675
1961-07-01,-7486542765.625175
1961-08-01,-7457138531.517921
1961-09-01,-7427811390.559586
1961-10-01,-7398561241.554321
1961-11-01,-7369387983.306854
1961-12-01,-7340291514.621651
1962-01-01,-7311271734.303123
1962-02-01,-7282328541.1558075
1962-03-01,-7253461833.984299
1962-04-01,-7224671511.592819
1962-05-01,-7195957472.786133
1962-06-01,-7167319616.368599
1962-07-01,-7138757841.144699
1962-08-01,-7110272045.918907
1962-09-01,-7081862129.495819
1962-10-01,-7053527990.679871
1962-11-01,-7025269528.275452
1962-12-01,-6997086641.087204
1963-01-01,-6968979227.919563
1963-02-01,-6940947187.576935
1963-03-01,-6912990418.863983
1963-04-01,-6885108820.58506
1963-05-01,-6857302291.544685
1963-06-01,-6829570730.547379
1963-07-01,-6801914036.397598
1963-08-01,-6774332107.899826
1963-09-01,-6746824843.858566
1963-10-01,-6719392143.078346
1963-11-01,-6692033904.363541
1963-12-01,-6664750026.51889
1964-01-01,-6637540408.348564
1964-02-01,-6610404948.657265
1964-03-01,-6583343546.249397
1964-04-01,-6556356099.929443
1964-05-01,-6529442508.502014
1964-06-01,-6502602670.771477
1964-07-01,-6475836485.542282
1964-08-01,-6449143851.618988
1964-09-01,-6422524667.806198
1964-10-01,-6395978832.908218
1964-11-01,-6369506245.729691
1964-12-01,-6343106805.074921
1965-01-01,-6316780409.748543
1965-02-01,-6290526958.555084
1965-03-01,-6264346350.298866
1965-04-01,-6238238483.784515
1965-05-01,-6212203257.816383
1965-06-01,-6186240571.19915
1965-07-01,-6160350322.7372055
1965-08-01,-6134532411.235016
1965-09-01,-6108786735.497086
1965-10-01,-6083113194.32798
1965-11-01,-6057511686.532043
1965-12-01,-6031982110.91391
1966-01-01,-6006524366.277962
1966-02-01,-5981138351.428741
1966-03-01,-5955823965.1708145
1966-04-01,-5930581106.308472
1966-05-01,-5905409673.646393
1966-06-01,-5880309565.989006
1966-07-01,-5855280682.140785
1966-08-01,-5830322920.906105
1966-09-01,-5805436181.089706
1966-10-01,-5780620361.495903
1966-11-01,-5755875360.929176
1966-12-01,-5731201078.194206
1967-01-01,-5706597412.095222
1967-02-01,-5682064261.4368515
1967-03-01,-5657601525.02359
1967-04-01,-5633209101.659958
1967-05-01,-5608886890.150314
1967-06-01,-5584634789.299301
1967-07-01,-5560452697.911285
1967-08-01,-5536340514.790749
1967-09-01,-5512298138.742348
1967-10-01,-5488325468.570427
1967-11-01,-5464422403.079521
1967-12-01,-5440588841.074081
1968-01-01,-5416824681.358688
1968-02-01,-5393129822.737732
1968-03-01,-5369504164.015739
1968-04-01,-5345947603.997192
1968-05-01,-5322460041.48658
1968-06-01,-5299041375.288483
1968-07-01,-5275691504.207207
1968-08-01,-5252410327.047417
1968-09-01,-5229197742.613518
1968-10-01,-5206053649.709961
1968-11-01,-5182977947.141357
1968-12-01,-5159970533.712097
1969-01-01,-5137031308.226746
1969-02-01,-5114160169.489708
1969-03-01,-5091357016.305504
1969-04-01,-5068621747.478645
1969-05-01,-5045954261.813591
1969-06-01,-5023354458.114914
1969-07-01,-5000822235.186989
1969-08-01,-4978357491.834351
1969-09-01,-4955960126.861519
1969-10-01,-4933630039.072945
1969-11-01,-4911367127.273155
1969-12-01,-4889171290.266617
1970-01-01,-4867042426.857803
1970-02-01,-4844980435.851204
1970-03-01,-4822985216.051384
1970-04-01,-4801056666.262733
1970-05-01,-4779194685.289787
1970-06-01,-4757399171.937042
1970-07-01,-4735670025.00898
1970-08-01,-4714007143.310074
1970-09-01,-4692410425.644844
1970-10-01,-4670879770.817734
1970-11-01,-4649415077.6332855
1970-12-01,-4628016244.896011
1971-01-01,-4606683171.410294
1971-02-01,-4585415755.980713
1971-03-01,-4564213897.411736
1971-04-01,-4543077494.507828
1971-05-01,-4522006446.073509
1971-06-01,-4501000650.913254
1971-07-01,-4480060007.831566
1971-08-01,-4459184415.632942
1971-09-01,-4438373773.121857
1971-10-01,-4417627979.102753
1971-11-01,-4396946932.38018
1971-12-01,-4376330531.758644
1972-01-01,-4355778676.042564
1972-02-01,-4335291264.036522
1972-03-01,-4314868194.544968
1972-04-01,-4294509366.3723297
1972-05-01,-4274214678.323181
1972-06-01,-4253984029.2019577
1972-07-01,-4233817317.8131866
1972-08-01,-4213714442.9613266
1972-09-01,-4193675303.450878
