,price_per_sqm_smoothed
1956-06-01,5705.819056792855
1956-07-01,5653.746959203289
1956-08-01,5620.495257800859
1956-09-01,5626.180831986854
1956-10-01,5603.332525965258
1956-11-01,5581.030499932058
1956-12-01,5561.980126289913
1957-01-01,5601.266478131182
1957-02-01,5631.641780352373
1957-03-01,5664.032918911633
1957-04-01,5673.652227764609
1957-05-01,5653.721056633226
1957-06-01,5663.048218495501
1957-07-01,5610.976120905935
1957-08-01,5577.724419503505
1957-09-01,5583.4099936895
1957-10-01,5560.561687667904
1957-11-01,5538.259661634704
1957-12-01,5519.2092879925585
1958-01-01,5558.495639833828
1958-02-01,5588.8709420550185
1958-03-01,5621.262080614279
1958-04-01,5630.881389467255
1958-05-01,5610.950218335872
1958-06-01,5620.277380198147
1958-07-01,5568.205282608581
1958-08-01,5534.95358120615
1958-09-01,5540.639155392146
1958-10-01,5517.79084937055
1958-11-01,5495.4888233373495
1958-12-01,5476.438449695204
1959-01-01,5515.724801536474
1959-02-01,5546.100103757664
1959-03-01,5578.491242316924
1959-04-01,5588.110551169901
1959-05-01,5568.179380038518
1959-06-01,5577.506541900792
1959-07-01,5525.434444311227
1959-08-01,5492.182742908796
1959-09-01,5497.868317094792
1959-10-01,5475.020011073196
1959-11-01,5452.717985039995
1959-12-01,5433.66761139785
1960-01-01,5472.95396323912
1960-02-01,5503.32926546031
1960-03-01,5535.72040401957
1960-04-01,5545.339712872546
1960-05-01,5525.408541741163
1960-06-01,5534.735703603439
1960-07-01,5482.663606013873
1960-08-01,5449.411904611442
1960-09-01,5455.097478797437
1960-10-01,5432.2491727758415
1960-11-01,5409.947146742641
1960-12-01,5390.896773100496
1961-01-01,5430.1831249417655
1961-02-01,5460.558427162956
1961-03-01,5492.949565722216
1961-04-01,5502.568874575192
1961-05-01,5482.637703443809
1961-06-01,5491.964865306085
1961-07-01,5439.892767716518
1961-08-01,5406.641066314088
1961-09-01,5412.326640500083
1961-10-01,5389.478334478487
1961-11-01,5367.176308445287
1961-12-01,5348.125934803142
1962-01-01,5387.412286644411
1962-02-01,5417.787588865602
1962-03-01,5450.178727424862
1962-04-01,5459.798036277838
1962-05-01,5439.866865146455
1962-06-01,5449.19402700873
1962-07-01,5397.121929419164
1962-08-01,5363.870228016734
1962-09-01,5369.555802202729
1962-10-01,5346.707496181133
1962-11-01,5324.405470147933
1962-12-01,5305.3550965057875
1963-01-01,5344.641448347057
1963-02-01,5375.0167505682475
1963-03-01,5407.407889127508
1963-04-01,5417.027197980484
1963-05-01,5397.096026849101
1963-06-01,5406.4231887113765
1963-07-01,5354.35109112181
1963-08-01,5321.099389719379
1963-09-01,5326.784963905375
1963-10-01,5303.936657883779
1963-11-01,5281.634631850578
1963-12-01,5262.584258208433
1964-01-01,5301.870610049703
1964-02-01,5332.245912270893
1964-03-01,5364.637050830153
1964-04-01,5374.25635968313
1964-05-01,5354.325188551747
1964-06-01,5363.652350414021
1964-07-01,5311.580252824456
1964-08-01,5278.328551422025
1964-09-01,5284.014125608021
1964-10-01,5261.165819586425
1964-11-01,5238.863793553224
1964-12-01,5219.813419911079
1965-01-01,5259.099771752349
1965-02-01,5289.475073973539
1965-03-01,5321.866212532799
1965-04-01,5331.485521385775
1965-05-01,5311.554350254392
1965-06-01,5320.881512116667
1965-07-01,5268.809414527102
1965-08-01,5235.557713124671
1965-09-01,5241.243287310666
1965-10-01,5218.3949812890705
1965-11-01,5196.09295525587
1965-12-01,5177.042581613725
1966-01-01,5216.3289334549945
1966-02-01,5246.704235676185
1966-03-01,5279.095374235445
1966-04-01,5288.714683088421
1966-05-01,5268.783511957038
1966-06-01,5278.110673819313
1966-07-01,5226.038576229747
1966-08-01,5192.786874827317
1966-09-01,5198.472449013312
1966-10-01,5175.624142991716
1966-11-01,5153.322116958516
1966-12-01,5134.271743316371
1967-01-01,5173.55809515764
1967-02-01,5203.933397378831
1967-03-01,5236.324535938091
1967-04-01,5245.943844791067
1967-05-01,5226.012673659684
1967-06-01,5235.339835521959
1967-07-01,5183.267737932393
1967-08-01,5150.016036529963
1967-09-01,5155.701610715958
1967-10-01,5132.853304694362
1967-11-01,5110.551278661162
1967-12-01,5091.5009050190165
1968-01-01,5130.787256860286
1968-02-01,5161.1625590814765
1968-03-01,5193.553697640737
1968-04-01,5203.173006493713
1968-05-01,5183.24183536233
1968-06-01,5192.568997224605
1968-07-01,5140.496899635039
1968-08-01,5107.245198232608
1968-09-01,5112.930772418604
1968-10-01,5090.082466397008
1968-11-01,5067.780440363807
1968-12-01,5048.730066721662
1969-01-01,5088.016418562932
1969-02-01,5118.391720784122
1969-03-01,5150.782859343382
1969-04-01,5160.402168196359
1969-05-01,5140.470997064976
1969-06-01,5149.79815892725
1969-07-01,5097.726061337685
1969-08-01,5064.474359935254
1969-09-01,5070.1599341212495
1969-10-01,5047.311628099654
1969-11-01,5025.009602066453
1969-12-01,5005.959228424308
1970-01-01,5045.245580265578
1970-02-01,5075.620882486768
1970-03-01,5108.012021046028
1970-04-01,5117.631329899004
1970-05-01,5097.700158767621
